Year,Age,Survivors,Status
1900,0,9181000,estimate
1900,5,8880000,estimate
1900,10,8086000,estimate
1900,15,7568000,estimate
1900,20,7383000,estimate
1900,25,6572000,estimate
1900,30,5589000,estimate
1900,35,4996000,estimate
1900,40,4277000,estimate
1900,45,3475000,estimate
1900,50,2962000,estimate
1900,55,2224000,estimate
1900,60,1802000,estimate
1900,65,1312000,estimate
1900,70,888000,estimate
1900,75,506136,estimate
1900,80,262790,estimate
1900,85,88456,estimate
1900,90,32960,estimate
1900,95,7349,estimate
1900,100,1309,estimate
1905,0,9944000,estimate
1905,5,9326000,estimate
1905,10,8562000,estimate
1905,15,8289000,estimate
1905,20,8237000,estimate
1905,25,7382000,estimate
1905,30,6249000,estimate
1905,35,5677000,estimate
1905,40,4784000,estimate
1905,45,3940000,estimate
1905,50,3410000,estimate
1905,55,2504000,estimate
1905,60,2013000,estimate
1905,65,1489000,estimate
1905,70,997000,estimate
1905,75,573696,estimate
1905,80,297868,estimate
1905,85,100263,estimate
1905,90,37360,estimate
1905,95,8330,estimate
1905,100,1483,estimate
1910,0,10671000,estimate
1910,5,9803000,estimate
1910,10,9147000,estimate
1910,15,9095000,estimate
1910,20,9117000,estimate
1910,25,8243000,estimate
1910,30,7031000,estimate
1910,35,6453000,estimate
1910,40,5306000,estimate
1910,45,4516000,estimate
1910,50,3938000,estimate
1910,55,2813000,estimate
1910,60,2288000,estimate
1910,65,1692000,estimate
1910,70,1124000,estimate
1910,75,658708,estimate
1910,80,342007,estimate
1910,85,115121,estimate
1910,90,42896,estimate
1910,95,9565,estimate
1910,100,1703,estimate
1915,0,11347000,estimate
1915,5,10674000,estimate
1915,10,9986000,estimate
1915,15,9428000,estimate
1915,20,9416000,estimate
1915,25,8873000,estimate
1915,30,7707000,estimate
1915,35,7241000,estimate
1915,40,5889000,estimate
1915,45,5209000,estimate
1915,50,4409000,estimate
1915,55,3206000,estimate
1915,60,2660000,estimate
1915,65,1901000,estimate
1915,70,1266000,estimate
1915,75,751040,estimate
1915,80,389947,estimate
1915,85,131257,estimate
1915,90,48908,estimate
1915,95,10906,estimate
1915,100,1942,estimate
1920,0,11631000,estimate
1920,5,11523000,estimate
1920,10,10635000,estimate
1920,15,9582000,estimate
1920,20,9239000,estimate
1920,25,9321000,estimate
1920,30,8095000,estimate
1920,35,7843000,estimate
1920,40,6539000,estimate
1920,45,5693000,estimate
1920,50,4812000,estimate
1920,55,3596000,estimate
1920,60,3023000,estimate
1920,65,2078000,estimate
1920,70,1402000,estimate
1920,75,815785,estimate
1920,80,423562,estimate
1920,85,142573,estimate
1920,90,53125,estimate
1920,95,11846,estimate
1920,100,2109,estimate
1925,0,12316000,estimate
1925,5,12087000,estimate
1925,10,11527000,estimate
1925,15,10784000,estimate
1925,20,9907000,estimate
1925,25,9350000,estimate
1925,30,9370000,estimate
1925,35,8076000,estimate
1925,40,7500000,estimate
1925,45,6304000,estimate
1925,50,5217000,estimate
1925,55,4362000,estimate
1925,60,3243000,estimate
1925,65,2537000,estimate
1925,70,1618000,estimate
1925,75,918251,estimate
1925,80,476764,estimate
1925,85,160480,estimate
1925,90,59797,estimate
1925,95,13334,estimate
1925,100,2374,estimate
1930,0,11372115,estimate
1930,5,12590170,estimate
1930,10,12040620,estimate
1930,15,11572129,estimate
1930,20,10915220,estimate
1930,25,9894030,estimate
1930,30,9144806,estimate
1930,35,9218464,estimate
1930,40,8052099,estimate
1930,45,7075624,estimate
1930,50,6019607,estimate
1930,55,4697531,estimate
1930,60,3778507,estimate
1930,65,2794498,estimate
1930,70,1966268,estimate
1930,75,1095062,estimate
1930,80,568566,estimate
1930,85,191381,estimate
1930,90,71312,estimate
1930,95,15901,estimate
1930,100,2831,estimate
1935,0,10170377,estimate
1935,5,11788568,estimate
1935,10,12424094,estimate
1935,15,11812771,estimate
1935,20,11316920,estimate
1935,25,10557834,estimate
1935,30,9717063,estimate
1935,35,8973399,estimate
1935,40,8738999,estimate
1935,45,7698260,estimate
1935,50,6510031,estimate
1935,55,5430629,estimate
1935,60,4307803,estimate
1935,65,3244992,estimate
1935,70,2196766,estimate
1935,75,1329649,estimate
1935,80,690365,estimate
1935,85,232379,estimate
1935,90,86588,estimate
1935,95,19308,estimate
1935,100,3437,estimate
1940,0,10578643,estimate
1940,5,10648297,estimate
1940,10,11714958,estimate
1940,15,12342637,estimate
1940,20,11690361,estimate
1940,25,11156261,estimate
1940,30,10289688,estimate
1940,35,9596675,estimate
1940,40,8824991,estimate
1940,45,8273732,estimate
1940,50,7280886,estimate
1940,55,5903498,estimate
1940,60,4790688,estimate
1940,65,3781780,estimate
1940,70,2584907,estimate
1940,75,1514476,estimate
1940,80,779693,estimate
1940,85,251803,estimate
1940,90,93826,estimate
1940,95,20921,estimate
1940,100,3725,estimate
1945,0,12978811,estimate
1945,5,10822136,estimate
1945,10,10776794,estimate
1945,15,11668891,estimate
1945,20,12036202,estimate
1945,25,11797101,estimate
1945,30,10936606,estimate
1945,35,10312804,estimate
1945,40,9474038,estimate
1945,45,8810434,estimate
1945,50,7832292,estimate
1945,55,6543537,estimate
1945,60,5444460,estimate
1945,65,4359248,estimate
1945,70,2999913,estimate
1945,75,1782427,estimate
1945,80,900790,estimate
1945,85,307163,estimate
1945,90,114453,estimate
1945,95,25521,estimate
1945,100,4544,estimate
1950,0,16409955,estimate
1950,5,13374537,estimate
1950,10,11212659,estimate
1950,15,10675405,estimate
1950,20,11680392,estimate
1950,25,12361596,estimate
1950,30,11674177,estimate
1950,35,11346649,estimate
1950,40,10289820,estimate
1950,45,9141999,estimate
1950,50,8310945,estimate
1950,55,7293084,estimate
1950,60,6103023,estimate
1950,65,5048789,estimate
1950,70,3443988,estimate
1950,75,2155298,estimate
1950,80,1159489,estimate
1950,85,400962,estimate
1950,90,149404,estimate
1950,95,33315,estimate
1950,100,5931,estimate
1955,0,18566313,estimate
1955,5,16748917,estimate
1955,10,13637838,estimate
1955,15,11039170,estimate
1955,20,10713668,estimate
1955,25,11834567,estimate
1955,30,12447663,estimate
1955,35,11856643,estimate
1955,40,11054896,estimate
1955,45,10159845,estimate
1955,50,8724570,estimate
1955,55,7787751,estimate
1955,60,6833891,estimate
1955,65,5680760,estimate
1955,70,4126565,estimate
1955,75,2569795,estimate
1955,80,1372733,estimate
1955,85,527454,estimate
1955,90,196537,estimate
1955,95,43824,estimate
1955,100,7802,estimate
1960,0,20341249,estimate
1960,5,18810017,estimate
1960,10,16925481,estimate
1960,15,13442177,estimate
1960,20,11134177,estimate
1960,25,10935627,estimate
1960,30,11982903,estimate
1960,35,12542472,estimate
1960,40,11678891,estimate
1960,45,10914008,estimate
1960,50,9664114,estimate
1960,55,8470898,estimate
1960,60,7154113,estimate
1960,65,6280112,estimate
1960,70,4773361,estimate
1960,75,3080443,estimate
1960,80,1601061,estimate
1960,85,639278,estimate
1960,90,238204,estimate
1960,95,53115,estimate
1960,100,9457,estimate
1965,0,19823841,estimate
1965,5,20377572,estimate
1965,10,19048875,estimate
1965,15,17026731,estimate
1965,20,13746439,estimate
1965,25,11340210,estimate
1965,30,11124787,estimate
1965,35,12020684,estimate
1965,40,12426362,estimate
1965,45,11380135,estimate
1965,50,10459044,estimate
1965,55,9505017,estimate
1965,60,7571873,estimate
1965,65,6550291,estimate
1965,70,5336706,estimate
1965,75,3511791,estimate
1965,80,1970845,estimate
1965,85,735644,estimate
1965,90,274112,estimate
1965,95,61122,estimate
1965,100,10882,estimate
1970,0,17166191,estimate
1970,5,19919437,estimate
1970,10,20852843,estimate
1970,15,19333097,estimate
1970,20,17202106,estimate
1970,25,13736148,estimate
1970,30,11587384,estimate
1970,35,11154676,estimate
1970,40,11994976,estimate
1970,45,12150627,estimate
1970,50,11165775,estimate
1970,55,10006476,estimate
1970,60,8675709,estimate
1970,65,7026249,estimate
1970,70,5466741,estimate
1970,75,3870964,estimate
1970,80,2312282,estimate
1970,85,972798,estimate
1970,90,362479,estimate
1970,95,80826,estimate
1970,100,14390,estimate
1975,0,16121483,estimate
1975,5,17594132,estimate
1975,10,20645886,estimate
1975,15,21284826,estimate
1975,20,19526836,estimate
1975,25,17280356,estimate
1975,30,14190906,estimate
1975,35,11633670,estimate
1975,40,11197160,estimate
1975,45,11784362,estimate
1975,50,11972279,estimate
1975,55,10645757,estimate
1975,60,9399251,estimate
1975,65,8132350,estimate
1975,70,5784668,estimate
1975,75,4246056,estimate
1975,80,2712181,estimate
1975,85,1238387,estimate
1975,90,461441,estimate
1975,95,102893,estimate
1975,100,18319,estimate
1980,0,16451184,estimate
1980,5,16602353,estimate
1980,10,18236335,estimate
1980,15,21110940,estimate
1980,20,21385705,estimate
1980,25,19685966,estimate
1980,30,17742706,estimate
1980,35,14076734,estimate
1980,40,11728497,estimate
1980,45,11048040,estimate
1980,50,11694715,estimate
1980,55,11611382,estimate
1980,60,10142668,estimate
1980,65,8809479,estimate
1980,70,6841235,estimate
1980,75,4829832,estimate
1980,80,2955279,estimate
1980,85,1580234,estimate
1980,90,557241,estimate
1980,95,101064,estimate
1980,100,17993,estimate
1985,0,17841621,estimate
1985,5,16664857,estimate
1985,10,17027433,estimate
1985,15,18727238,estimate
1985,20,21264605,estimate
1985,25,21671065,estimate
1985,30,20025358,estimate
1985,35,17603617,estimate
1985,40,14087397,estimate
1985,45,11605636,estimate
1985,50,10853668,estimate
1985,55,11228652,estimate
1985,60,10906469,estimate
1985,65,9343205,estimate
1985,70,7515455,estimate
1985,75,5510861,estimate
1985,80,3379386,estimate
1985,85,1766474,estimate
1985,90,695972,estimate
1985,95,152348,estimate
1985,100,27124,estimate
1990,0,18856447,estimate
1990,5,18076746,estimate
1990,10,17212887,estimate
1990,15,17771593,estimate
1990,20,19150386,estimate
1990,25,21277047,estimate
1990,30,21938773,estimate
1990,35,19990295,estimate
1990,40,17792942,estimate
1990,45,13829016,estimate
1990,50,11377762,estimate
1990,55,10478159,estimate
1990,60,10623482,estimate
1990,65,10078923,estimate
1990,70,8025063,estimate
1990,75,6146996,estimate
1990,80,3936697,estimate
1990,85,2053620,estimate
1990,90,764297,estimate
1990,95,205197,estimate
1990,100,36486,estimate
1995,0,19626505,estimate
1995,5,19438171,estimate
1995,10,19207049,estimate
1995,15,18373998,estimate
1995,20,18300214,estimate
1995,25,19679936,estimate
1995,30,22372187,estimate
1995,35,22491620,estimate
1995,40,20219148,estimate
1995,45,17623741,estimate
1995,50,13856498,estimate
1995,55,11182298,estimate
1995,60,10137724,estimate
1995,65,9976485,estimate
1995,70,8889603,estimate
1995,75,6707882,estimate
1995,80,4514612,estimate
1995,85,2404658,estimate
1995,90,994044,estimate
1995,95,238698,estimate
1995,100,43322,estimate
2000,0,19178293,estimate
2000,5,20463852,estimate
2000,10,20637696,estimate
2000,15,20294955,estimate
2000,20,19116667,estimate
2000,25,19280263,estimate
2000,30,20524234,estimate
2000,35,22650852,estimate
2000,40,22517991,estimate
2000,45,20219527,estimate
2000,50,17779447,estimate
2000,55,13565937,estimate
2000,60,10863129,estimate
2000,65,9523909,estimate
2000,70,8860028,estimate
2000,75,7438619,estimate
2000,80,4984540,estimate
2000,85,2806405,estimate
2000,90,1118191,estimate
2000,95,287595,estimate
2000,100,50281,estimate
2005,0,19917400,estimate
2005,5,19389067,estimate
2005,10,21212579,estimate
2005,15,21486214,estimate
2005,20,20959955,estimate
2005,25,19534710,estimate
2005,30,19723937,estimate
2005,35,20798653,estimate
2005,40,22706885,estimate
2005,45,22417171,estimate
2005,50,20078733,estimate
2005,55,17503220,estimate
2005,60,13138277,estimate
2005,65,10278627,estimate
2005,70,8603070,estimate
2005,75,7463609,estimate
2005,80,5611193,estimate
2005,85,3102921,estimate
2005,90,1242587,estimate
2005,95,301368,estimate
2005,100,46423,estimate
2010,0,20200529,estimate
2010,5,20382409,estimate
2010,10,20694011,estimate
2010,15,21959087,estimate
2010,20,21667938,estimate
2010,25,21153247,estimate
2010,30,20093828,estimate
2010,35,20082244,estimate
2010,40,20899181,estimate
2010,45,22647920,estimate
2010,50,22365329,estimate
2010,55,19779195,estimate
2010,60,16987190,estimate
2010,65,12515334,estimate
2010,70,9326038,estimate
2010,75,7313372,estimate
2010,80,5750081,estimate
2010,85,3641594,estimate
2010,90,1463685,estimate
2010,95,375778,estimate
2010,100,51699,estimate
2015,0,19924706,estimate
2015,5,20490819,estimate
2015,10,20614613,estimate
2015,15,21090272,estimate
2015,20,22689498,estimate
2015,25,22431356,estimate
2015,30,21641883,estimate
2015,35,20308469,estimate
2015,40,20132157,estimate
2015,45,20761610,estimate
2015,50,22251495,estimate
2015,55,21733516,estimate
2015,60,19012730,estimate
2015,65,16031092,estimate
2015,70,11457126,estimate
2015,75,8110827,estimate
2015,80,5793729,estimate
2015,85,3851324,estimate
2015,90,1843884,estimate
2015,95,492416,estimate
2015,100,75472,estimate
2020,0,19294289,estimate
2020,5,20347781,estimate
2020,10,21697125,estimate
2020,15,21547434,estimate
2020,20,21479997,estimate
2020,25,22805104,estimate
2020,30,22878453,estimate
2020,35,22236095,estimate
2020,40,20673585,estimate
2020,45,20320470,estimate
2020,50,20781162,estimate
2020,55,22029536,estimate
2020,60,21027118,estimate
2020,65,17996516,estimate
2020,70,14574012,estimate
2020,75,9660846,estimate
2020,80,6160332,estimate
2020,85,3674202,estimate
2020,90,1791378,estimate
2020,95,526302,estimate
2020,100,75983,estimate
2025,0,18481649,projection
2025,5,19952317,projection
2025,10,20885790,projection
2025,15,22317271,projection
2025,20,22519187,projection
2025,25,22604537,projection
2025,30,23823292,projection
2025,35,23570075,projection
2025,40,22571046,projection
2025,45,20741893,projection
2025,50,20136010,projection
2025,55,20293959,projection
2025,60,21110213,projection
2025,65,19746058,projection
2025,70,16427099,projection
2025,75,12611062,projection
2025,80,7595958,projection
2025,85,4077439,projection
2025,90,1855103,projection
2025,95,606710,projection
2025,100,107764,projection
